Title,Company,Location,Posted Time,Job URL,Description,Employment Type,Seniority Level,Industry,Scraped At
Directeur adjoint de la direction du patrimoine et des services techniques (H/F),Université de Toulon,"La Garde, Provence-Alpes-Côte d'Azur, France",21 hours ago,https://fr.linkedin.com/jobs/view/directeur-adjoint-de-la-direction-du-patrimoine-et-des-services-techniques-h-f-at-universit%C3%A9-de-toulon-4195483507,"À propos de nous
Pluridisciplinaire hors santé, l’université de Toulon propose plus d’une centaine de formations, à vocation générale ou professionnelle, dans des champs multiples. Elles permettent d’accueillir chaque année, sur 3 campus (Toulon, La Garde et Draguignan), plus de 10 500 étudiants aux profils variés dans un environnement à taille humaine mettant la priorité sur l’accompagnement, la réussite et les relations avec les acteurs socio-économiques du territoire. La politique scientifique de l’université intègre la nécessité de maintenir un adossement recherche de qualité à l’ensemble des formations. Forte de plus de 1000 collaborateurs dont 514 personnels BIATSS, l’université de Toulon est liée par un contrat d’association avec Aix-Marseille Université qui favorise son autonomie, son rayonnement et le portage de projets partagés d’intérêt commun. L’université de Toulon déploie sa stratégie de développement autour d’un axe identitaire, « Sociétés méditerranéennes et sciences de la mer », en prenant appui sur trois pôles thématiques : « Echanges et sociétés en Méditerranée », « Information, numérique et prévention », « Mer, environnement et développement durable ».
Mission
L'université de Toulon recrute un directeur adjoint (F/H) au sein de la direction du patrimoine et des services techniques (DPST) -
Poste pérenne ouvert aux fonctionnaires et contractuels
Le directeur adjoint, élabore avec le directeur le plan pluriannuel de travaux et le budget de la Direction, il met en place les tableaux de bord afin de piloter l'activité, et contribue aux réflexions prospectives sur l'évolution du patrimoine immobilier, en particulier sur tout ce qui concerne l'énergie. Il supplée le directeur en son absence et assure à cet égard la responsabilité de la maîtrise d'ouvrage des opérations immobilières.
Il est également en charge de la supervision du pôle travaux/maintenance, et met en œuvre la politique de maintenance et d'exploitation de l'ensemble des bâtiments en assurant le suivi technique, administratif et financier. Il assure également la gestion des voiries et espaces verts des campus.
Activités Essentielles
Élaborer et proposer la politique de maintenance et d'exploitation du patrimoine et décliner les actions pluriannuelles
Mener des réflexions prospectives sur l'avenir du patrimoine immobilier, en particulier des réflexions en lien avec la QVT et le télétravail pour réorganiser les espaces de travail administratifs. Mission à mener en collaboration avec la DRH
Manager, organiser et coordonner les activités de services immobiliers internes ou externes
Optimiser la conduite des installations techniques dans un objectif de coût global, d'efficacité énergétique et de confort. En particulier, pilotage du contrat de performance énergétique de l'établissement, mise en place d'une démarche usagers sur l'économie des fluides, définition d'une stratégie d'établissement pour répondre aux obligations du décret tertiaire
Piloter la réalisation des diagnostics et l'élaboration des préconisations techniques
Élaborer, justifier et contrôler l'exécution des budgets prévisionnels nécessaires à l'activité du service ou des projets
Définir les modalités de contractualisation avec les prestataires extérieurs dans le cadre de l'exploitation et de la maintenance
Piloter la réalisation des travaux de maintenance (organiser, étudier, planifier, contrôler et réceptionner)
Renseigner et piloter les indicateurs et les bases de données de gestion de l'activité
Proposer des améliorations au pilotage de la direction en définissant des nouveaux indicateurs et tableaux de bords, en lien avec les besoins de la gouvernance
Contraintes Particulières
Déplacements à prévoir sur tous les campus, astreintes éventuelles
Informations Complémentaires
Catégorie et corps : A - Ingénieur de recherche
Emploi-type REFERENS III : Ingénieur-e responsable du patrimoine immobilier ou logistique - G1X41
Structure d'affectation et localisation : DPST – Campus de La Garde
Hygiène et sécurité : Travail sur écran >4H par jour
Emploi côté RIFSEEP groupe 2 du corps des IGR, poste avec encadrement
Rémunération nette mensuelle avant prélèvement à la source pour contractuels : à partir de 1943 €, selon expérience professionnelle
Date de prise de fonctions souhaitée : 01/05/2025
Date de fin de contrat pour les agents contractuels : 31/08/2026 avec possibilité de renouvellement
Profil
Diplôme minimum requis pour un agent contractuel : Bac+5
Poste avec du management et nécessitant également de très bonnes connaissances techniques
Connaissances
Techniques d'installation et de maintenance des équipements locaux (connaissance approfondie)
Méthodologie de conduite de projet (connaissance générale)
Technique des différents corps de métiers du bâtiment (connaissance approfondie)
Réglementation sécurité incendie (connaissance générale)
Marchés publics (connaissance générale)
Normes et procédures de sécurité (connaissance approfondie)
Patrimoine immobilier, réglementation et techniques du domaine
Compétences Opérationnelles
Piloter un projet (expertise)
Apporter des réponses à des besoins spécifiques (maîtrise)
Établir un diagnostic (expertise)
Gérer les situations d'urgence (maîtrise)
Participer à la sécurité des personnes et des locaux (maîtrise)
Encadrer / animer une équipe (expertise)
Savoir rendre compte (maîtrise)
Gérer un budget (maîtrise)
Conduire une négociation (maîtrise)
Savoir représenter l'établissement
Compétences Comportementales
Sens de l'organisation
Sens de l'initiative
Sens critique
Capacité de conceptualisation
Capacité à développer une vision stratégique
Date limite de candidature : 20/04/2025
Référence de l'offre : yw9fzm40rf",Contract,Entry level,Commercial and Service Industry Machinery Manufacturing,2025-04-01 13:44:06
Gestionnaire de scolarité F/H,Université de Bretagne Occidentale,"Brest, Brittany, France",21 hours ago,https://fr.linkedin.com/jobs/view/gestionnaire-de-scolarit%C3%A9-f-h-at-universit%C3%A9-de-bretagne-occidentale-4195485233,"À propos de nous
L’Université de Bretagne Occidentale est un établissement public à caractère scientifique, culturel et professionnel (EPSCP), riche de sa diversité en termes de domaines de formations et de champs de recherche.
Elle œuvre pour la production du savoir, sa transmission et sa valorisation. Engagée au cœur de la cité, elle contribue à la formation de citoyens et de citoyennes libres et responsables, dans le respect des valeurs humanistes : la responsabilité, le respect, l’intégrité, l’inclusion et la solidarité.
Forte des 23 000 étudiants, 1 300 enseignants-chercheurs et chercheurs et 900 personnels administratifs et techniques qui la font vivre au quotidien, l’UBO réussit le pari d’être une université de proximité, tout en rayonnant au niveau national et international. Elle figure en bonne place de deux classements internationaux qui font référence pour les universités dans le monde : le classement thématique de Shanghai, où elle est classée dans 8 disciplines et se démarque particulièrement en océanographie avec la 5e place mondiale, et le Times Higher Education (THE), où elle se positionne dans la première moitié du classement dans 8 catégories, parmi les 1900 universités classées.
L’UBO concentre une large partie de son activité sur le site brestois, mais elle est aussi présente au nord (Morlaix) comme au sud (Quimper) du Finistère et s’étend à l’ensemble de la Bretagne avec les sites de l’Institut National Supérieur du Professorat et de l’Éducation à Rennes, Vannes et St Brieuc.
L’UBO fait également partie de l'Université européenne SEA-EU qui rassemble neuf universités partenaires : l’Université de Cadiz (Espagne), l’Université de Kiel (Allemagne), l’Université de Gdansk (Pologne), l’Université de Split (Croatie), l’Université de Malte, l’Université de Bodo (Norvège), l’Université de Faro (Portugal) et l’Université de Naples (Italie). Cette alliance vise à renforcer la mobilité des étudiants et des personnels des universités et à améliorer la qualité, l'inclusivité et la compétitivité de l'enseignement supérieur européen.
L’UBO recherche des femmes et des hommes de talent pour assurer sa mission de service public et contribuer à son rayonnement.
Mission
LE SERVICE ET L’ÉQUIPE
La Faculté d’Odontologie forme les futurs chirurgiens-dentistes.
Elle accueille environ 240 étudiants sur les 3 cycles de formation, et une quinzaine de stagiaires de formation continue diplômante.
l’équipe administrative et technique de l’UFR est composée de 4 personnes : une Responsable Administrative et Financière, l’Adjointe de scolarité, une technicienne, et une Adjointe administrative.
LE POSTE ET LES MISSIONS
Votre mission principale ?
Vous participerez à l’accueil des étudiants et serez en charge de la gestion administrative et pédagogique de leur cursus universitaire.
A ce titre, vous veillerez au bon déroulement de la scolarité des étudiants inscrits dans votre faculté/institut de rattachement dans le respect de la réglementation.
Vous assurerez l’interface opérationnelle entre les étudiants, les enseignants (notamment les Responsables de formation) ainsi que les services administratifs internes comme externes à la composante.
Vos activités ?
Activités liées au suivi des étudiants :
Vous accueillez et informez un public varié (étudiants, enseignants, personnels, interlocuteurs externes) : accueil physique, téléphonique et électronique.
Vous gérez les dossiers d’inscriptions des étudiants, réalisez les inscriptions pédagogiques et appliquez les procédures associées (transferts, …)
Vous êtes l’interlocuteur privilégié des candidats sur Parcoursup.
Vous assurez le suivi administratif et pédagogique des étudiants (suivi mensuel d’assiduité, suivi de notes).
Vous assurez le suivi des stages en lien avec les partenaires.
Vous accompagnez avec bienveillance chaque étudiant tout au long de sa formation.
Activités liées à l’organisation des cours et examens :
Vous recueillez les données relatives à l’organisation des cours, élaborez et diffusez les emplois du temps (étudiants/enseignants).
Vous créez les feuilles d’appel et coordonnez les annulations et rattrapages de cours.
Vous pilotez les travaux dirigés (constitution des groupes, contrôle d’assiduité).
Vous gérez les sessions d’examens (écrits et oraux) dans le respect de la réglementation en vigueur et dans les délais impartis : préparation des listes de présence, collecte de sujets, envoi des convocations, pv des jurys, saisie des notes, affichage des résultats, envoi des relevés de notes.
Vous effectuez le paramétrage de premier niveau de l’outil de saisie et calcul des notes (Logiciel Apogée).
Vous traitez les aspects logistiques des cours et examens : réservation de salles, …
Activités transverses :
Vous réalisez l’ensemble des tâches de secrétariat courant : frappe de documents (courriels/attestations), mise en forme, classement et archivage.
Vous êtes en appui à la Responsable de Service et traitez toute autres tâches liées aux obligations de service.
Profil
VOTRE PROFIL
Motivé(e), vous êtes à l’aise avec l’outil informatique et vous êtes prêt(e) à vous former à de nouveaux logiciels.
Vous faite preuve d’écoute, de réactivité et d’adaptation face aux sollicitations d’un public varié.
Vous appréciez être polyvalent(e) et multitâches.
Rigoureux(se), organisé(e), vous savez gérer vos priorités sous des délais contraints et avez une bonne maîtrise de soi et du stress.
Doté(e) d’un excellent relationnel, vous avez le sens de l’accueil et aimez travaillez en équipe (tout en faisant preuve d’autonomie).
POURQUOI NOUS REJOINDRE ?
Intégrez une université innovante et internationale qui dispense une recherche pluridisciplinaire de pointe.
Partagez les valeurs fortes du service public : continuité, engagement, intégrité, loyauté, neutralité et respect.
Rejoignez un établissement handi-accueillant, attaché à la mixité, à la diversité et engagé dans la promotion de l’égalité professionnelle entre les femmes et les hommes.
Passez à l’Ouest et bénéficiez d’un cadre de vie exceptionnel : pour en savoir plus sur Brest, classée 9e ville de France où il fait bon vivre, rendez-vous sur Brest, l’esprit libre.
Nos Atouts
Formation, accompagnement dans votre parcours professionnel, préparation aux concours de la fonction publique
Signataire de la charte de la parentalité
Possibilité de travailler en 4,5 jours
Possibilité de télétravailler partiellement à compter de 3 mois d’ancienneté (selon conditions)
45 jours de congés annuels
Accès au restaurant universitaire
Prestations interministérielles d’action sociale : chèque CESU garde d’enfants, chèques vacances, aide au transport, aide pour la mutuelle santé
Vie sociale : orchestre universitaire renommé, bricothèque, jardin partagé, ateliers de conversation, couture, théâtre, cercle des lecteurs
Loisirs et Culture : + 50 activités sportives au choix, expositions UBO, carte Cezam…
Pour Mieux Nous Connaître
Découvrez notre vidéo de présentation de l’UBO
Visitez notre site internet UBO et suivez notre page Linkedin
INFORMATIONS COMPLÉMENTAIRES
Type de recrutement : par voie contractuelle
Type de contrat : CDD
Quotité de travail : 100 %
Nombre de postes à pourvoir : 1
Durée de contrat : 2 mois et demi (renouvelable)
Durée hebdomadaire temps de travail : 35h00
Date de début de contrat : 05/05/2025
Date de fin de contrat : 18/07/2025
Adresse de travail : 22 avenue Camille desmoulins à BREST
Intitulé Emploi-type UBO : Adjoint de scolarité
Catégorie : C
Rémunération brute mensuelle : 1839,64 €
Candidature : CV + Lettre de motivation + Questionnaire candidat (transmis automatiquement dans le mail d’accusé réception de votre candidature).
Mode d’étude des candidatures : au fil de l’eau par le Service Demandeur
Procédure de recrutement : sélection des candidatures sur dossier, entretien présentiel, test technique envisageable
Toutes les candidatures seront étudiées avec intérêt.
Référence de l'offre : yrvvf0lzxg",Contract,Entry level,Public Policy Offices,2025-04-01 13:44:10
Réceptionniste / Agent de réservation H/F,Hotel Lancaster - Paris Champs Elysées,"Paris, Île-de-France, France",20 hours ago,https://fr.linkedin.com/jobs/view/r%C3%A9ceptionniste-agent-de-r%C3%A9servation-h-f-at-hotel-lancaster-paris-champs-elys%C3%A9es-4197328775,"Demeure parmi les plus emblématiques du quartier des Champs Elysées. Si l’institution ouverte en 1930 porte bien ses 90 ans, Le Lancaster s’inscrit désormais davantage dans son époque avec un décor et une atmosphère repensée par le Studio Jean Philippe Nuel. Pièces d’époques et éléments contemporains créés sur mesure, dialoguent pour offrir une atmosphère unique.
Une nouvelle jeunesse souffle dans les couloirs de ses 8 étages, les 44 chambres et 10 Suites, le chaleureux lobby, la terrasse secrète ou encore le CopperBay Bar. Dès l’entrée, ce pied-à-terre parisien donne le ton. L’élégant porche couvert qui accueillait dans les années 30 les autos et chevaux, s’est mué en un accueillant vestibule où l’on se donne rendez-vous pour patienter sur de confortables banquettes de cuir.
Mot Du Directeur Général, Lyderick JADAUD
Notre Directeur Général vous invite à vivre l’expérience Lancaster, lieu imprégné d’Histoire au luxe discret ou s’accordent authenticité et un service de qualité.
Déjà en 1925, M. Wolf, le créateur du Lancaster disait « Je n’ai jamais eu de client, seulement des amis », voila une phrase qui résume bien l’esprit de l’Hôtel.
Nos clients sont ici chez eux, dans leur maison.
Mot Du Chargé Des Ressources Humaines, Anthony SCHNEIDER
Travailler au Lancaster c'est adhérer à la philosophie de proximité et de rigueur souhaitée par le créateur, M. Wolf. C’est également, rejoindre une entreprise authentique et engagée avec de nombreuses possibilités d’évolutions professionnelles
Avantages
Indémnités compensatrices de nourriture conformément aux dispositions prévues par la convention collective HCR
Prime d'habillage mensuelle
Prime d'objectifs collectifs
Contrat épargne salariale (contrat de participation selon les bénéfices de l'hôtel)
Prise en charge navigo à hauteur de 75%
contrat frais de santé base isolée avec une prise en charge del’employeur à hauteur de 80%, ou, un contrat de frais de santé famille avecune prise en charge de l’employeur à hauteur de 50%
Mise à disposition d'uniformes de travail avec blanchisserie
Une nuit pour découvrir notre maison pour 2 personnes, soumis à la validation de la période d'essai
Prime de cooptation
2 jours de repos consécutifs
13em mois versé mensuellement
L’Hôtel Lancaster fête cette année ses 100 ans d’histoire, d’élégance et de savoir-faire à deux pas des Champs-Élysées.
Pour écrire ce nouveau chapitre à nos côtés, nous recherchons un
Réceptionniste / Agent de réservation H/F
, passionné par l’hospitalité et le service sur mesure.
Vous rejoindrez une équipe soudée, engagée chaque jour à faire vivre une expérience unique et chaleureuse à nos hôtes.
Réception
Accueil des clients : Accueillir chaleureusement les clients en respectant les standards de luxe de l'établissement.
Accompagnement en chambre : Escorter les clients jusqu'à leur chambre et leur remettre les clés.
Procédures administratives : Appliquer rigoureusement les procédures de Check-in, Check-out et de facturation.
Information et assistance : Informer les clients des activités touristiques locales et des événements internes ou externes à l'hôtel pour enrichir leur séjour.
Gestion des réclamations : Traiter les éventuelles contestations avec professionnalisme et établir un rapport détaillé pour le Chef de Service.
Personnalisation du service : Mémoriser et anticiper les besoins, habitudes et attentes des clients pour offrir un service personnalisé.
Administration : Effectuer les formalités administratives liées au séjour des clients.
Accueil téléphonique : Assurer un accueil téléphonique courtois et efficace.
Gestion de caisse : Être responsable de la caisse de la Réception et du fond de caisse pendant son service.
Suivi clientèle : Assurer un suivi attentif des clients tout au long de leur séjour.
Disponibilité et réactivité : Être disponible pour informer et répondre aux attentes des clients.
Connaissance de l'établissement : Avoir une connaissance approfondie de l'établissement et présenter les prestations additionnelles de l'hôtel.
Passations : Rédiger et envoyer les passations entre les rotations de service.
Réservation
Accueil téléphonique de la réservation (hôtel, restaurant, Spa) : Assurer un accueil téléphonique de qualité, en ligne avec l'esprit et la vision de l'établissement.
Gestion des réservations hôtel, SPA, restaurant : Gérer et suivre les réservations via différents canaux online et offline (téléphone, email, plateforme de ventes.
Réponse aux besoins clients : Proposer des solutions adaptées aux besoins des clients en tenant compte des possibilités de l'établissement.
Argumentaires de vente : Respecter les argumentaires de vente pour promouvoir efficacement l'établissement.
Optimisation de l'occupation : Optimiser l'occupation et le prix de vente selon la stratégie tarifaire de l'établissement.
Suivi rigoureux : Assurer un suivi rigoureux des réservations pour garantir une gestion optimale.
Politique commerciale : Respecter et appliquer la politique commerciale de l'établissement.
Saisie des réservations : Prendre les réservations et assurer leur saisie dans le système de gestion hôtelière (PMS).
Collaboration inter-services : Assurer une bonne communication avec les autres services pour garantir un accueil client optimal.
Vous avez une présentation irréprochable, en accord avec les standards de notre maison.
Vous êtes accueillant(e), réactif(ve) et doté(e) d’un excellent sens du service client, avec une attention particulière portée aux détails.
Vous évoluez avec aisance dans un environnement haut de gamme, exigeant et en constante évolution.
Vous avez un très bon relationnel, que ce soit avec la clientèle internationale, les équipes en interne, ou les partenaires extérieurs (agences de voyage, conciergeries, prescripteurs...).
Vous maîtrisez couramment le français et l’anglais, tant à l’écrit qu’à l’oral. La connaissance d’une troisième langue est un atout.
Une première expérience à un poste similaire dans un établissement haut de gamme ou de luxe est fortement appréciée.
Flexibilité et disponibilité pour travailler en horaires décalés, y compris certains week-ends.
Rémunération mensuelle brute : entre 2500 € et 2750 €, selon profil et expérience (salaire de base, avantages et primes inclus).",Full-time,Entry level,Animation and Post-production,2025-04-01 13:44:17
Responsable Sportif H/F,L'Appart Fitness,"St.-Chamond, Auvergne-Rhône-Alpes, France",20 hours ago,https://fr.linkedin.com/jobs/view/responsable-sportif-h-f-at-l-appart-fitness-4197331449,Skipped to avoid rate limiting,N/A,N/A,N/A,2025-04-01 13:44:17
Réceptionniste ( H/F),ROUSSILLHOTEL Groupe Hôtelier,"Argelès-sur-Mer, Occitanie, France",20 hours ago,https://fr.linkedin.com/jobs/view/r%C3%A9ceptionniste-h-f-at-roussillhotel-groupe-h%C3%B4telier-4197334173,Skipped to avoid rate limiting,N/A,N/A,N/A,2025-04-01 13:44:17
Chargé de communication et événementiel H/F,PROPRETE HYGIENE PLUS,"Saint-Aubin-du-Cormier, Brittany, France",20 hours ago,https://fr.linkedin.com/jobs/view/charg%C3%A9-de-communication-et-%C3%A9v%C3%A9nementiel-h-f-at-proprete-hygiene-plus-4197327830,Skipped to avoid rate limiting,N/A,N/A,N/A,2025-04-01 13:44:17
Coordinateur-trice d'Equipes et de Projets,Unis-Cite,"Châlons-en-Champagne, Grand Est, France",15 hours ago,https://fr.linkedin.com/jobs/view/coordinateur-trice-d-equipes-et-de-projets-at-unis-cite-4195744640,Skipped to avoid rate limiting,N/A,N/A,N/A,2025-04-01 13:44:17
Serveur-euse,Patriarche. Augmented Architecture,"La Motte-Servolex, Auvergne-Rhône-Alpes, France",9 hours ago,https://fr.linkedin.com/jobs/view/serveur-euse-at-patriarche-augmented-architecture-4197655539,Skipped to avoid rate limiting,N/A,N/A,N/A,2025-04-01 13:44:17
Accueillant·e LAEP,Ligue de l'enseignement- Fédération des Bouches-du-Rhône,"Marseille, Provence-Alpes-Côte d'Azur, France",16 hours ago,https://fr.linkedin.com/jobs/view/accueillant%C2%B7e-laep-at-ligue-de-l-enseignement-f%C3%A9d%C3%A9ration-des-bouches-du-rh%C3%B4ne-4197429248,Skipped to avoid rate limiting,N/A,N/A,N/A,2025-04-01 13:44:17
Conseiller·e en immobilier professionnel,ORPI,"Fayence, Provence-Alpes-Côte d'Azur, France",21 hours ago,https://fr.linkedin.com/jobs/view/conseiller%C2%B7e-en-immobilier-professionnel-at-orpi-4197320868,Skipped to avoid rate limiting,N/A,N/A,N/A,2025-04-01 13:44:17
